__src_id,__dst_id,type
"organization/joyent","funding-round/d45e09a5b1a2856d0a9e7dbbd091aa44","hasFundingRound"
"organization/joyent","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/joyent","funding-round/89b5ab290909e3cce6088c266c38793f","hasFundingRound"
"organization/joyent","person/eric-braun","hasTeamMember"
"organization/joyent","image/upload/v1397183000/99f6c1ff437975559c48af897bd00317.png","hasPrimaryImage"
"organization/joyent","person/scott-hammond","hasTeamMember"
"organization/joyent","person/michal-lockhead","hasTeamMember"
"organization/joyent","category/infrastructure/9fe4b69285863baa84a49ccf4d6eb0fa","hasCategory"
"organization/karmadata","http://twitter.com/karmadata","hasWebsite"
"organization/katalyo","http://twitter.com/katalyo","hasWebsite"
"organization/katalyo","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/kitenga","http://www.kitenga.com","hasWebsite"
"organization/kitenga","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/sidecar","QWRkcmVzc1BoaWxhZGVscGhpYSBPZmZpY2VudWxsbnVsbDE5MTA3UGhpbGFkZWxwaGlh","hasHeadquarter"
"organization/sidecar","image/upload/v1397181520/1c8d5f668408d6e79306f9852bdea61e.png","hasPrimaryImage"
"organization/sidecar","QWRkcmVzc1BoaWxhZGVscGhpYSBPZmZpY2VudWxsbnVsbDE5MTA3UGhpbGFkZWxwaGlh","hasOffice"
"organization/sidecar","funding-round/d18a254c28fbf77ad2ae3a8d6ba2132d","hasFundingRound"
"organization/sidecar","http://www.getsidecar.com","hasWebsite"
"organization/sidecar","person/marc-adelman","hasTeamMember"
"organization/sidecar","http://twitter.com/getsidecar","hasWebsite"
"organization/sidecar","funding-round/4139dc6ef31ac52b3ef4e775b262afa5","hasFundingRound"
"organization/sinequa","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/sinequa","person/xavier-pornain-2","hasTeamMember"
"organization/sourcethought","http://sourcethought.com/","hasWebsite"
"organization/sparql-city","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/streamdrill","person/matthias-l-jugel","hasFounder"
"organization/streamdrill","person/matthias-l-jugel","hasTeamMember"
"organization/streamdrill","http://twitter.com/streamdrill","hasWebsite"
"organization/superganadero","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/transera-communications","person/karen-riley","hasBoardMemberAndAdvisor"
"organization/transera-communications","person/rich-guth","hasTeamMember"
"organization/transera-communications","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/transera-communications","person/mike-shannahan","hasTeamMember"
"organization/typesafe","person/jonas-bonr","hasTeamMember"
"organization/typesafe","person/martin-odersky","hasTeamMember"
"organization/typesafe","http://blog.typesafe.com/","hasWebsite"
"organization/typesafe","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/typesafe","http://www.plus.google.com/+Typesafe","hasWebsite"
"organization/typesafe","funding-round/e2d6ad763b6024448c96e8288184a45e","hasFundingRound"
"organization/vc-experts","person/joseph-bartlett","hasFounder"
"organization/vc-experts","person/joseph-bartlett","hasTeamMember"
"organization/velocidata","person/marc-r-lederman","hasBoardMemberAndAdvisor"
"organization/velocidata","funding-round/8a5e312ddeffa8c3db89e74e5d058984","hasFundingRound"
"organization/via-science","person/kate-james","hasTeamMember"
"organization/wandisco","funding-round/b39bb5861bb8d00fc982a8d606a00d20","hasFundingRound"
"organization/wandisco","http://twitter.com/wandisco","hasWebsite"
"organization/wandisco","category/software/c08b5441a05b9777b7a6012728caddd9","hasCategory"
"organization/wandisco","http://blog.wandisco.com/david/","hasWebsite"
"organization/wegowise","person/dewitt-jones","hasFounder"
"organization/wegowise","QWRkcmVzc0Jvc3RvbiBPZmZpY2VudWxsbnVsbDAyMTExQm9zdG9u","hasOffice"
"organization/wegowise","person/dewitt-jones","hasTeamMember"
"organization/wegowise","QWRkcmVzc1dhc2hpbmd0b24sIERDIE9mZmljZW51bGxudWxsMjAwMDVXYXNoaW5ndG9u","hasOffice"
"organization/wegowise","QWRkcmVzc1dhc2hpbmd0b24sIERDIE9mZmljZW51bGxudWxsMjAwMDVXYXNoaW5ndG9u","hasHeadquarter"
"organization/zetdata","person/alex-banh","hasBoardMemberAndAdvisor"
"organization/zoomdata","person/farzad-aref","hasTeamMember"
"location/british-columbia/7eaa00725485a02b26f4cc2df1ea8f34","location/canada/1b3d6217ec761b13c47aaca49b466a2c","locatedIn"
"location/british-columbia/7eaa00725485a02b26f4cc2df1ea8f34","location/canada/1b3d6217ec761b13c47aaca49b466a2c","locatedIn"
"location/nuevo-leon/3bc614597ab5576ff79d964beaf24a5a","location/mexico/308f292714b4d2d6be551d9ccab8426e","locatedIn"
